-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
-----------------------------------------------------------------------------
 1000.0    146                                                               
  925.0    821                                                               
  876.0   1289   11.0    2.0     54   5.07    130      4  295.1  310.2  296.0
  867.0   1375   15.0    1.0     39   4.77    135      6  300.1  314.7  301.0
  852.0   1521   15.4   -0.6     33   4.32    144     10  302.1  315.4  302.9
  850.0   1541   15.4   -0.6     33   4.33    145     10  302.3  315.7  303.1
  828.0   1762   13.4   -0.6     38   4.44    160     13  302.4  316.2  303.2
  821.5   1829   14.1    0.1     38   4.72    165     14  303.9  318.5  304.7
  819.0   1854   14.4    0.4     38   4.83    166     14  304.4  319.4  305.3
  792.1   2134   12.4   -0.7     40   4.61    180     18  305.2  319.6  306.0
  763.9   2438   10.2   -1.9     43   4.37    220      8  306.0  319.7  306.8
  762.0   2459   10.0   -2.0     43   4.36    221      8  306.0  319.7  306.8
  736.1   2743    7.4   -3.0     48   4.19    240      7  306.2  319.4  307.0
  700.0   3156    3.6   -4.4     56   3.96    240      8  306.4  318.9  307.2
  657.4   3658   -0.9   -6.6     66   3.57    250      7  306.9  318.2  307.5
  632.9   3962   -3.7   -7.9     72   3.35    225     15  307.1  317.8  307.7
  624.0   4075   -4.7   -8.4     75   3.27    231     19  307.2  317.6  307.8
  614.0   4202   -5.3  -11.3     63   2.64    237     24  307.9  316.5  308.4
  609.0   4267   -5.7  -10.6     68   2.81    240     26  308.2  317.3  308.7
  606.0   4305   -5.9  -10.2     72   2.92    237     25  308.4  317.8  308.9
  600.0   4383   -6.3  -12.3     62   2.49    230     22  308.8  316.9  309.2
  592.0   4488   -4.5  -31.5     10   0.47    222     18  312.1  313.8  312.1
  587.0   4555   -3.7  -40.7      4   0.19    216     16  313.8  314.5  313.8
  585.7   4572   -3.8  -40.1      4   0.20    215     15  313.9  314.6  313.9
  564.0   4870   -5.1  -29.1     13   0.61    220     16  315.7  317.9  315.8
  563.5   4877   -5.2  -29.1     13   0.62    220     16  315.7  317.9  315.8
  541.6   5182   -8.0  -29.0     17   0.65    220     13  315.9  318.3  316.1
  500.0   5800  -13.7  -28.7     27   0.72    225     20  316.3  318.9  316.4
  480.7   6096  -16.5  -29.6     31   0.69    225     24  316.4  318.9  316.5
  470.0   6265  -18.1  -30.1     34   0.67    224     24  316.4  318.9  316.6
  407.0   7315  -28.4  -32.6     67   0.61    220     25  316.5  318.7  316.6
  404.0   7369  -28.9  -32.7     70   0.61    218     24  316.4  318.7  316.6
  400.0   7440  -29.3  -34.3     62   0.53    215     22  316.8  318.8  316.9
  393.0   7566  -29.9  -39.9     37   0.30    212     21  317.6  318.8  317.7
  390.0   7620  -30.2  -41.5     32   0.26    210     21  317.9  318.9  317.9
  386.0   7694  -30.7  -43.7     27   0.21    211     21  318.2  319.0  318.3
  373.6   7925  -32.4  -45.4     26   0.18    215     22  319.0  319.7  319.0
  370.0   7994  -32.9  -45.9     26   0.17    212     22  319.2  319.9  319.2
  358.0   8226  -33.3  -50.3     17   0.11    204     21  321.7  322.1  321.7
  324.0   8923  -37.5  -57.5     11   0.05    178     17  325.2  325.4  325.2
  313.7   9144  -39.3  -58.4     11   0.05    170     16  325.7  325.9  325.7
  300.0   9450  -41.7  -59.7     12   0.04    170     13  326.5  326.6  326.5
  300.0   9449  -41.7  -59.7     12   0.04    165     13  326.5  326.6  326.5
  266.0  10254  -48.3  -61.3     21   0.04    177     16  328.3  328.4  328.3
  250.0  10660  -51.7  -65.7     17   0.02    180     18  329.1  329.2  329.1
  248.0  10712  -52.1  -65.1     19   0.02    179     18  329.2  329.3  329.2
  238.1  10973  -54.4  -63.0     33   0.03    175     16  329.7  329.8  329.7
  230.0  11195  -56.3  -61.3     53   0.04    168     20  330.0  330.2  330.0
  227.0  11278  -56.5  -61.4     54   0.04    165     22  330.9  331.1  330.9
  216.4  11582  -57.1  -65.4     34   0.03    190     23  334.5  334.6  334.5
  214.0  11652  -57.3  -66.3     31   0.02    192     26  335.3  335.4  335.3
  209.0  11801  -56.1  -68.1     21   0.02    197     32  339.5  339.6  339.5
  206.2  11887  -56.6  -70.2     17   0.01    200     35  339.9  340.0  339.9
  200.0  12080  -57.9  -74.9     10   0.01    195     33  340.9  340.9  340.9
  194.0  12272  -58.9  -75.9      9   0.01    195     34  342.3  342.3  342.3
  189.0  12436  -57.5  -76.5      7   0.01    198     33  347.1  347.1  347.1
  174.0  12959  -57.1  -86.1      1   0.00    206     31  356.1  356.1  356.1
  159.0  13526  -59.7  -89.7      1   0.00    214     29  361.0  361.0  361.0
  152.0  13807  -59.9  -89.9      1   0.00    219     27  365.3  365.3  365.3
  150.0  13890  -59.5  -89.5      1   0.00    220     27  367.4  367.4  367.4
  146.0  14059  -58.9  -89.9      1   0.00    221     27  371.3  371.3  371.3
  137.0  14458  -59.3  -90.3      1   0.00    224     27  377.4  377.4  377.4
  132.0  14690  -60.9  -91.9      1   0.00    226     26  378.5  378.5  378.5
  128.0  14882  -60.7  -91.7      1   0.00    227     26  382.2  382.2  382.2
  123.0  15129  -62.3  -92.3      1   0.00    229     26  383.7  383.7  383.7
  120.8  15240  -62.5  -92.5      1   0.00    230     26  385.3  385.3  385.3
  110.0  15816  -63.7  -93.7      1   0.00    250     26  393.5  393.5  393.5
  100.0  16400  -64.5  -93.5      1   0.00    260     18  402.8  402.8  402.8
   73.3  18290  -65.7  -94.7      1   0.00    255     10  437.7  437.7  437.7
   73.3  18288  -65.7  -94.7      1   0.00    255     10  437.7  437.7  437.7
   70.0  18570  -64.7  -94.7      1   0.00    265     13  445.6  445.6  445.6
   68.6  18693  -64.1  -94.1      1   0.00    264     12  449.5  449.5  449.5
   63.1  19202  -64.7  -94.3      1   0.00    260     10  459.0  459.0  459.0
   57.1  19812  -65.5  -94.6      1   0.00    285     24  470.6  470.6  470.6
   55.5  19984  -65.7  -94.7      1   0.00    303     20  473.9  473.9  473.9
   53.9  20162  -63.9  -93.9      1   0.00    322     16  482.0  482.0  482.0
   51.6  20422  -65.0  -94.4      1   0.00    350     10  485.5  485.5  485.5
   50.1  20608  -65.7  -94.7      1   0.00    317      7  488.0  488.0  488.0
   50.0  20620  -65.5  -94.5      1   0.00    315      7  488.7  488.7  488.7
   46.7  21031  -64.6  -94.1      1   0.00    290      4  500.3  500.3  500.3
   44.5  21336  -64.0  -93.7      1   0.00    270     10  509.1  509.1  509.1
   42.9  21555  -63.5  -93.5      1   0.00    265     12  515.5  515.5  515.5
   40.4  21923  -64.1  -94.1      1   0.00    256     15  522.9  522.9  522.9
   40.2  21946  -64.0  -94.0      1   0.00    255     15  523.8  523.8  523.8
   38.3  22250  -62.6  -92.6      1   0.00    320     12  534.8  534.8  534.8
   38.2  22267  -62.5  -92.5      1   0.00    320     12  535.4  535.4  535.4
   36.5  22555  -62.7  -92.7      1   0.00    320     17  542.1  542.1  542.1
   34.9  22823  -62.9  -92.9      1   0.00    331     10  548.4  548.4  548.4
   33.0  23165  -61.4  -92.1      1   0.00    345      2  561.1  561.1  561.1
   32.2  23321  -60.7  -91.7      1   0.00    330      8  567.0  567.0  567.0
   31.4  23470  -60.9  -91.9      1   0.00    315     13  570.4  570.4  570.4
   30.0  23760  -61.3  -92.3      1   0.00    355      7  577.0  577.0  577.0
   27.5  24300  -61.7  -91.7      1   0.00    333     10  590.4  590.4  590.4
   27.1  24384  -61.2  -91.4      1   0.00    330     11  593.9  594.0  593.9
   25.1  24871  -58.5  -89.5      1   0.01    301     11  615.1  615.2  615.1
   22.9  25446  -59.7  -90.7      1   0.00    267     11  627.9  628.0  627.9
   21.3  25908  -58.1  -89.6      1   0.01    240     11  646.1  646.1  646.1
   20.0  26300  -56.7  -88.7      1   0.01    255     21  661.9  662.0  661.9
   19.3  26518  -55.8  -88.2      1   0.01    265     18  671.1  671.2  671.1
   18.4  26822  -54.6  -87.4      1   0.01    255     26  684.2  684.4  684.2
   18.1  26936  -54.1  -87.1      1   0.01    259     26  689.2  689.3  689.2
   16.8  27432  -54.8  -87.4      1   0.01    275     24  702.5  702.6  702.5
   16.0  27737  -55.2  -87.5      1   0.01    295     23  710.8  710.9  710.8
   15.2  28042  -55.6  -87.7      1   0.01    265     14  719.1  719.3  719.1
   15.1  28092  -55.7  -87.7      1   0.01    267     15  720.5  720.7  720.5
   14.5  28346  -54.2  -86.8      1   0.01    275     20  733.8  734.0  733.8
